Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22061310606,C006,0,0,0,0,0
22110400604,C006,0,0,0,0,0
22100700323,C001,35,8,0,0,0
22203601036,C007,0,0,0,0,0
22110405510,C004,30,8,8,0,8
22112207706,C010,0,0,0,0,0
22100716039,C008,22,7,7,0,7
22070321405,C005,15,3,3,0,3
22072516616,C010,0,0,0,0,0
22241001104,C006,0,0,0,0,0
22271404312,C011,0,0,0,0,0
22100714401,C012,0,0,0,0,0
22040904807,C004,60,15,15,0,15
22081328404,C001,0,0,0,0,0
22230300104,C006,40,1,1,0,1
22172605305,C006,0,0,0,0,0
22271806502,C001,0,0,0,0,0
22120932602,C011,0,0,0,0,0
22030703703,C003,0,0,0,0,0
22080100603,C011,0,0,0,0,0
22101115103,C003,13,3,3,0,3
22140134108,C008,30,8,5,0,5
22191606405,C003,0,0,0,0,0
22251402807,C011,40,10,2,0,2
22090811003,C012,0,0,0,0,0
22110407357,C001,60,15,4,0,4
22252303524,C002,40,10,4,0,4
22131301803,C004,40,5,5,1,4
22070604803,C002,0,0,0,0,0
22030107521,C003,42,9,9,0,9
22172613812,C004,19,9,9,0,9
22110407422,C010,0,0,0,0,0
22110402116,C005,20,4,2,0,2
22191605702,C006,0,0,0,0,0
22061708905,C006,40,10,5,0,5
22122515008,C009,0,0,0,0,0
22041515018,C007,0,0,0,0,0
22110400127,C004,8,2,1,0,1
22231204002,C011,0,0,0,0,0
22090812633,C006,NULL,NULL,NULL,NULL,NULL
22071408304,C006,200,50,39,39,0
22100712305,C004,16,4,0,0,0
22050810404,C004,19,5,5,0,5
22260809706,C002,0,0,0,0,0
22071507509,C006,90,23,20,0,20
22012208909,C008,30,7,4,0,4
22220908608,C005,20,5,2,1,1
22070322101,C002,30,6,6,0,6
22141803514,C003,25,6,6,3,3
22041708603,C004,40,10,4,0,4
22061303803,C002,32,8,8,0,8
22081207003,C007,48,12,4,0,4
22062401003,C003,40,10,5,0,5
22090211504,C009,0,0,0,0,0
22110613617,C012,0,0,0,0,0
22091109105,C002,40,10,5,0,5
22271707409,C008,16,5,5,0,5
22110402007,C009,36,3,3,0,3
22172804706,C009,0,0,0,0,0
22133009909,C006,40,10,0,0,0
22080110206,C004,8,2,2,0,2
